,pl,en
gunslinger_long_description,"Wyciągasz pistolet z kabury w mgnieniu oka. 
        Jeśli używasz krótkiej broni palnej, pistolet w kaburze traktuje się tak, jakbyś miał go już dobytego w dłoni.","
You draw your pistol from the holster in the blink of an eye.
If you're using a short firearm, the pistol in the holster is treated as if you already had it in your hand."
last_bullet_long_description,"Jeśli w twoim rewolwerze została jeszcze tylko jedna kula, strzał ten będzie dla ciebie łatwiejszy o 1 Poziom Trudności testu.","If there's only one bullet left in your revolver, the shot becomes 1 Difficulty Level easier for you."
friends_long_description,"Szybka bryka, czy worek granatów, nie zawsze pomogą przejść przez terytorium zajmowane przez pięć różnych gangów, w końcu kiedyś podwinie ci się noga i staniesz z zepsutą chłodnicą w samym centrum ziemi Brain Dogs. Wtedy przyda się znać szefa, nie sądzisz? Zaczynasz z dodatkowymi 150 gamblami, które możesz przeznaczyć na Znajomych (nie Wojowników).","In a fast car or with a bag of grenades, it won't always help you cross territory occupied by five different gangs. Eventually, your luck may run out, and you'll find yourself in the heart of Brain Dogs territory with a broken radiator. That's when knowing the boss comes in handy, don't you think? You start with an extra 150 gambits, which you can spend on Contacts (not Warriors)."
hiding_hole_long_description,"Otwierasz drzwi, rzucasz okiem na wnętrze bryki, chwilę gmerasz i już masz swój tajny schowek. Nawet sam właściciel tego samochodu go nie znajdzie. W każdym pojeździe rozmiarów minimum samochodu, Kurier w kilka minut potrafi znaleźć lub spreparować skrytkę, którą bardzo trudno odkryć podczas przeszukiwania: rozmiarów pudełka papierosów (test Wypatrywania na Fart), dwa razy większe (Cholernie trudny test Wypatrywania), na pistolet (Bardzo trudny test Wypatrywania), mała walizkę (Trudny test Wypatrywania).","You open the door, glance inside the car, fiddle around for a moment, and you already have your secret hiding spot. Even the owner of the car won't find it. In any vehicle the size of a car or larger, the Courier can find or set up a hideout that's very hard to detect during a search: the size of a cigarette box (a test of Perception on Luck), twice as large (a Damn Hard test of Perception), for a pistol (a Very Hard test of Perception), or a small suitcase (a Hard test of Perception)."
photographic_memory_long_description,"Jesteś jak aparat cyfrowy podłączony do 40 gigowego twardziela. Masz wielką bibliotekę obrazów, wystarczy, że wejdziesz do pomieszczenia, by jego obraz utkwił na zawsze w twojej pamięci i byś potem mógł go w spokoju trawić i oglądać, dokładnie tak, jak gdyby ktoś zrobił tam zdjęcie. W czasie gry masz prawo do wykonania Trudnego testu Percepcji za każdym razem, kiedy chcesz sobie przypomnieć wygląd jakiegoś pomieszczenia. Zdaj test, a Mistrz Gry wyśpiewa wszystko jak na spowiedzi. Choćby minął miesiąc. Ba! Choćby minął rok! Albo i dwa lata.","You're like a digital camera connected to a 40-gig hard drive. You have a vast library of images. Just enter a room, and its image is forever etched into your memory. Later, you can contemplate and view it as if someone took a picture. During the game, you have the right to perform a Difficult Perception test every time you want to recall the appearance of a room. Pass the test, and the Game Master will describe everything to you as if it were a confession. Even if a month has passed. Heck, even if it's been a year or two!"
persistent_long_description,"Kiedy masz przed nosem swój cel, przestaje się liczyć cokolwiek innego. Przesz do przodu jak czołg, niepomny na rany, zmęczenie i strach. Jesteś łowcą, złamany obojczyk, stado mutantów, czy trzecia nieprzespana noc nie mogą ci przeszkodzić w dopadnięciu zwierzyny. Zwiększasz swój Charakter i Budowę o 2 punkty podczas wszystkich testów, kiedy niepowodzenie testu oddaliłoby cię od dopadnięcia celu.","
When you have your target in front of you, nothing else matters. You charge forward like a tank, ignoring wounds, fatigue, and fear. You're a hunter, a broken collarbone, a pack of mutants, or a third sleepless night can't stop you from catching your prey. You increase your Character and Build by 2 points during all tests where failing the test would distance you from reaching your target."
no_mysteries_long_description,"Znasz się na mutantach, nie da się zaprzeczyć. Gdy zdasz Trudny test Sprytu, MG musi zdradzić ci słabe punkty napotkanego mutanta. MG może także podać ci niektóre Współczynniki mutanta.","You know your stuff when it comes to mutants, there's no denying that. When you pass a Hard Intelligence test, the GM must reveal the weak points of the encountered mutant. The GM may also provide you with some of the mutant's characteristics."
mutant_for_breakfast_long_description,"Co prawda, pacyfistą w ogóle nazwać cię nie można, to jednak twoja agresja najczęściej dotyczy mutantów. Załatwiłeś już tony tego tałatajstwa i ciągle nie masz dość. Za to doświadczenie w walce z wszelkimi odmieńcami ciągle rośnie. Otrzymujesz bonus -20% do walki z mutantami (testy Charakteru, Inicjatywy, ataku, obrony).","While you can't be called a pacifist by any means, your aggression is most often directed towards mutants. You've taken down tons of those deviants and still can't get enough. Your experience in fighting all sorts of mutants keeps growing. You receive a -20% bonus to combat against mutants (Character, Initiative, Attack, Defense tests)."
merciless_long_description,"Z ludzi, którzy cię zawiedli żyje tylko Marc. Twoi ludzie właśnie montują mu betonowe obuwie. To już jego ostatnie minuty. Z ludzi, którzy stanęli na twej drodze, do wczoraj żył Długi Johny i Szybki Paul. Dziś już nie masz wrogów. Z ludzi, którzy... Zaczynasz z jednym Punktem Sławy (złej). Reputacja kosztuje cię tylko 20PD i zawsze jest to zła sława.","Out of the people who betrayed you, only Marc is alive. Your people are currently fitting him with concrete shoes, and these are his last moments. Among the people who stood in your way, Długi Johny and Szybki Paul were alive until yesterday. Today, you have no more enemies. For the people who... You start with one Point of Infamy (negative fame). Increasing your reputation only costs you 20BP, and it's always a bad reputation."
classe_long_description,"Trzeba mieć klasę. Nie można strzelić człowiekowi w głowę, mając na nogach ubłocone buty. Czy ty chciałbyś, by ktoś stuknął cię rozklekotanym, nieumytym Pontiakiem? Trzeba mieć poziom. Trzeba szanować klientów i wrogów. Szczególnie dziś, w tych podłych czasach. Trudno nie uwierzyć facetowi takiemu jak ty. Facetowi z klasą... Możesz przerzucić każdy test Perswazji i Zastraszania.","
One must have class. You can't shoot a man in the head while wearing muddy shoes. Would you want someone to hit you with a run-down, unwashed Pontiac? You must have a level of respect. You have to respect both clients and enemies. Especially today, in these wretched times. It's hard not to believe a man like you. A man with class... You can reroll any Persuasion and Intimidation test."
respect_for_job_long_description,"Gdy wjeżdżacie do jakiejkolwiek osady, najlepiej zacząć gadkę od prostego stwierdzenia: „Widzicie tamtego faceta? To lekarz.” Nie trzeba nic więcej. Wystarczy, że zdasz Trudny test Perswazji, a miejscowi zaczną się wokół was uwijać, jakby co najmniej przyjechali z dawna oczekiwani goście. Jeśli w osadzie jest już lekarz, musisz zdać Bardzo Trudny test Perswazji.","
When you enter any settlement, it's best to start the conversation with a simple statement: ""See that guy over there? He's the doctor."" You don't need to say anything more. Just pass a Difficult Persuasion test, and the locals will start bustling around you as if you're long-awaited guests. If there's already a doctor in the settlement, you'll need to pass a Very Difficult Persuasion test."
field_paramedic_long_description,"Eksplozje, świszczące kule, krzyki i bieganina? To dla ciebie chleb powszedni. Że trochę trzęsie? Żaden problem. Że za ciemno? Chrzanienie. Ignorujesz wszelkie utrudnienia do testów leczenia, wynikające z warunków panujących w otoczeniu.","Explosions, whizzing bullets, shouts, and running? That's just a typical day for you. A little shaking? No problem. Too dark? You don't even notice. You ignore all obstacles when conducting healing tests, regardless of the environmental conditions."
matches_and_a_safety_pin_long_description,"Na agregat czekałeś dwa miesiące, a oni przywieźli ci frezarkę z fabryki łodzi podwodnych. Nawet nie mrugnąłeś. Od tygodnia wszystko gra i buczy, a ty masz pewność, że jeśli wywalą cię, albo nie dadzą premii, nikt prócz ciebie nie będzie wiedział, jak funkcjonuje ta walcownia blachy. Po prostu masz talent do scalania najróżniejszych urządzeń w jeden mechanizm. Dostajesz bonus +2 do Sprytu podczas testów technicznych (gdy montujesz, naprawiasz lub przerabiasz urządzenie mechaniczne lub elektroniczne). Zawsze? Nie, tylko wtedy, gdy coś montujesz... No tak, czyli prawie zawsze.","You waited two months for the generator, and they delivered you a submarine factory's milling machine. You didn't even flinch. Everything has been running smoothly for a week, and you're sure that if they fire you or don't give you a bonus, no one but you will know how this sheet metal rolling mill works. You simply have a talent for combining various devices into one mechanism. You receive a +2 bonus to Intelligence during technical tests (when assembling, repairing, or modifying mechanical or electronic devices). Always? Well, almost always, but only when you're assembling something... Well, yes, so pretty much always."
troublesome_surplus_long_description,"Kiedy byłeś mały, znalazłeś budzik. Rozebrałeś go i złożyłeś na nowo, a skurczybyk dalej chodził. Tobie została garść części. Potrafisz powtórzyć ten numer niemal na każdej maszynie, wystarczy tylko, że zdasz Trudny test Mechaniki lub Elektroniki. Zostaje ci garść części o wartości 20% całego urządzenia.","When you were little, you found an alarm clock. You disassembled it and reassembled it, and the little bugger kept ticking. You were left with a handful of parts. You can repeat this trick on almost any machine, as long as you pass a Hard Mechanics or Electronics test. You keep 20% of the parts from the device."
reputation_long_description,Nie nawalasz. Nie wystawiasz klienta do wiatru. Nie wycofujesz się ze zleceń. Dlatego właśnie możesz zażądać więcej od dowolnego innego jełopa - a pracodawca i tak wybierze ciebie. Zwiększ o 15 punktów Reputację - już na starcie jesteś kimś uznanym w tej branży. Ponadto Punkt Reputacji kosztuje cię tylko 20PD.,"You don't mess around. You don't leave your clients hanging. You don't back out of contracts. That's why you can demand more than any other schmuck, and the employer will choose you anyway. Increase your Reputation by 15 points - you're already recognized in the industry. Plus, Reputation only costs you 20 CP."
killing_machine_long_description,"Mówisz sobie: „teraz albo nigdy!” i wchodzisz w tryb maszyny do zabijania. Najemnik może tymczasowo zwiększyć o 2 punkty wartość dowolnego Współczynnika, ale bonus ten wykorzystać może tylko w walce. Ma to swoją cenę: po upływie godziny lub po wykonaniu 10-ciu testów tego Współczynnika, bonus znika, zaś Najemnik otrzymuje karę +50% ze zmęczenia (zmniejszaną o 10% co godzinę). Cechy tej można użyć dopiero, gdy postać wypocznie (czyli całkowicie zniknie kara ze zmęczenia).","You say to yourself, ""Now or never!"" and enter kill mode. A mercenary can temporarily increase the value of any Stat by 2 points, but this bonus can only be used in combat. There is a price to pay: after an hour or after completing 10 Stat tests, the bonus disappears, and the Mercenary receives a +50% fatigue penalty (reduced by 10% per hour). This ability can only be used after the character has rested (i.e., the fatigue penalty has completely disappeared)."
mute_long_description,"Potrafisz odciąć się od hałasu, zamieszania, błysku fleszów, huku muzyki i skoncentrować się tylko na zadaniu - ochronie klienta. Cały szum jest gdzieś w tle, a ty wchodzisz w stan innego postrzegania świata, wyczulony na zagrożenie. Gdy chronisz swojego klienta, nie otrzymujesz ujemnych modyfikatorów za półmrok, hałas, i inne trudne warunki podczas dowolnych testów Percepcji.","You can block out noise, confusion, camera flashes, loud music, and focus solely on the task of protecting your client. All the background noise fades away, and you enter a state of heightened awareness of danger. When protecting your client, you don't receive negative modifiers for low light, noise, or other challenging conditions during any Perception tests."
before_he_does_long_description,"Potrafisz oddać strzał życia w sytuacji, kiedy życie osoby, którą ochraniasz, jest zagrożone - wtedy automatycznie wygrywasz Inicjatywę i zaczynasz pierwszy.","You can deliver a life-saving shot when the life of the person you're protecting is in danger. In this situation, you automatically win initiative and act first."
a_uniform_and_a_badge_long_description,"Prawdziwego gliniarza poznasz, choćby się przebrał za stonogę albo Czerwonego Kapturka. Niezbyt giętkie zasady, harde spojrzenie, kiepskie poczucie humoru i pączki. Ma to swoje plusy, bo wszystkim łachmytom trochę mięknie rura. Podczas testów Morale (Najpierw spójrz mi w oczy) twoi przeciwnicy zdają o poziom trudniejszy test niż normalnie. Za to dobrzy ludzie odnoszą się do ciebie z większym szacunkiem i zaufaniem: w kontaktach z postaciami nie nastawionymi do ciebie wrogo, otrzymujesz bonus +2 do Perswazji i Zdolności przywódczych. Niestety, gangerzy, mutki i wszelkie ścierwo mniej cię lubią.","You are a true cop, even if you dress up as a centipede or Little Red Riding Hood. Unyielding rules, a tough look, a lousy sense of humor, and donuts. It has its advantages because it makes even the shadiest characters a bit more cooperative. During Morale tests (First, look into my eyes), your opponents have to take a test one level more challenging than usual. On the other hand, good people treat you with more respect and trust: when dealing with characters who are not hostile towards you, you receive a +2 bonus to Persuasion and Leadership Abilities. Unfortunately, gang members, thugs, and any other kind of scum like you less."
one_of_us_long_description,"Nie musisz za każdym razem, gdy ustrzelisz jakiegoś gangera czy złodzieja, tracić czasu na dyskusje i przekonywanie innych stróżów prawa, że to było konieczne, a ty też jesteś z policji. Oni od razu widzą, coś za jeden. Dodatkowo 150 gambli na Znajomości wśród sędziów i egzekutorów.","You don't have to waste time every time you shoot a gang member or thief, trying to convince other law enforcers that it was necessary and that you are also a cop. They immediately see it for what it is. Additionally, you receive 150 Gamble points for building connections among judges and enforcers."
education_long_description,"W pakiecie Wiedza ogólna wszystkie Umiejętności posiadasz od razu na poziomie 2. Pamiętaj, nie trzy wybrane, ale wszystkie!","In the General Knowledge package, you have all Skills at Level 2 right from the start. Remember, it's not just three selected ones, but all of them!"
focus_long_description,"„Dobra, zaczynam!” Gdy zasiadasz do swojego zadania (czynności oparte na Sprycie), potrafisz odciąć się od wszelkich zewnętrznych zakłóceń. Olewasz kary wynikające z hałasu, tłoku i zamieszania, koncentrujesz się i dodatkowo jeszcze otrzymujesz bonus +2 do Sprytu. Jednak coś za coś. W tym samym momencie otrzymujesz karę +30% do testów wszystkich pozostałych Współczynników. Kara zmniejsza się o 10% co kwadrans po zakończeniu lub przerwaniu twojego zadania, po prostu wracasz powoli na planetę Ziemia.","„Okay, lets begin!” When you start your task (activities based on Agility), you can cut yourself off from all external disturbances. You ignore penalties related to noise, crowds, and commotion, focus, and additionally receive a +2 bonus to Agility. However, there's a trade-off. At the same time, you receive a +30% penalty to tests of all other Attributes. The penalty decreases by 10% every 15 minutes after you finish or interrupt your task; you simply return to Earth slowly."
the_spirits_have_spoken_long_description,"Przy pasie masz manierkę, a w niej własnoręcznie przygotowany wyciąg z kaktusa. Ostatecznie może być dobry grass, bo po grzybkach masz czkawkę. To jest twój most do świata duchów. A duchy wiedzą wiele... Potrafisz odjechać w transie i MG powinien zdradzić ci wtedy dodatkowe informacje dotyczące wybranej osoby lub miejsca. Czeka Cię jednak Trudny test Budowy, albo cały dzień będziesz łaził jak pieprznięty kolbą w łeb. I nie pomoże ci aspiryna…","You have a canteen on your belt, and inside it, there's a homemade cactus extract. Alternatively, it can be good old grass since mushrooms give you the hiccups. This is your bridge to the spirit world. And spirits know a lot... You can go into a trance, and during that time, the GM should provide you with additional information about the chosen person or place. However, you will face a Difficult Constitution test, or you'll walk around all day like you've been hit over the head with a club. And aspirin won't help you…"
totem_long_description,"Kiedy wszedłeś w wiek męski, prowadzić zaczął cię duch. Po rytuale przejścia stopniowo zacząłeś nabierać jego cech. Jesteś wężem, niedźwiedziem, wiewiórką, wilkiem, może zającem. Wybierz jeden z totemów: 
        Budowa: Niedźwiedź 
        Percepcja: Sokół 
        Spryt: Kojot 
        Zręczność: Kot 
        Charakter: Wilk. Gdy tylko zechcesz, upodabniasz się do totemicznego zwierzęcia. Musisz zdać Problematyczny test Współczynnika związanego z totemem, a otrzymasz do niego modyfikator +2. W tym czasie reszta twoich Współczynników spada o 1. Ten dziwny stan kończy się wtedy, gdy zechcesz (po minimum godzinie), lub podczas snu. Wtedy otrzymujesz karę -1 do wszystkich Współczynników na tyle godzin, ile w nim przebywałeś (jednak godziny snu nie liczą Się).","When you entered manhood, a spirit began guiding you. Through a rite of passage, you gradually acquired its attributes. You can choose one of the following totems:
Constitution: Bear
Perception: Falcon
Intelligence: Coyote
Dexterity: Cat
Charisma: Wolf
Whenever you wish, you can take on the likeness of your totemic animal. You must pass a Difficult test of the attribute associated with the totem, and you receive a +2 modifier to that attribute. During this time, all your other attributes decrease by 1. This peculiar state ends when you desire it (after at least an hour) or during sleep. Then, you receive a -1 penalty to all attributes for as many hours as you spent in that state (but hours of sleep do not count)."
what_do_i_care_anyway_long_description,"Wszelkie choroby i trucizny masz gdzieś. Automatycznie zdajesz wszystkie testy Kondycji przeciwko truciznom, chorobom i radiacji (otrzymujesz zawsze mniejszą karę). 
        Możesz zjeść spleśniałe mięso i konserwę z 2019 roku, i tylko się obliżesz. 
        Ale widać od razu, żeś szczur i żaden garnitur Nigdy tego nie zamaskuje. 
        Ach, żeby nie było nieporozumień, Chorobę przewlekłą w Kroku 7 losujesz normalnie.","You couldn't care less about diseases and poisons. You automatically pass all Constitution tests against poisons, diseases, and radiation (always receiving a lesser penalty). You can eat moldy meat and canned food from 2019, and you'll just lick your lips. But it's immediately clear that you're a rat, and no suit will ever hide that. Just to avoid any misunderstandings, draw Chronic Disease in Stage 7 as usual."
grey_long_description,"Szczurów jest pełno. Żebracy, włóczędzy, ludzkie wraki. Nikt z nimi nie gada. Oni też z nikim nie gadają. Dzięki temu nikt nie zwraca na nich uwagi. Z czasem ludzie tak przywykli do ich widoku, że przestali zupełnie traktować ich jak ludzi. W ten sposób szczur stał się niczym, stał się „niewidzialny”. Jeśli Szczur zda Trudny test Sprytu, to może się poruszać niezauważony, ale tylko w otoczeniu pasującym do Szczura.","The streets are teeming with rats. Beggars, vagrants, human wrecks. Nobody talks to them. They don't talk to anyone either. Thanks to this, nobody pays attention to them. Over time, people became so accustomed to their sight that they completely stopped treating them like humans. In this way, the rat became nothing, it became ""invisible."" If the Rat passes a Difficult Intelligence test, they can move unnoticed, but only in an environment that suits the Rat."
beast_long_description,"Zaczynasz grę posiadając jedną wytresowaną bestię, na którą zgodzi się MG. Ponadto potrafisz oswajać i tresować dzikie zwierzęta. Podejść do dzikiego zwierzęcia w taki sposób, żeby nie rzucił ci się od razu do gardła. Wiesz co je drażni. 
        Takiemu towarzyszowi możesz wydawać kilka rodzajów poleceń, jak np.: „bierz go”, „do nogi”, „cicho”, „leżeć” itp.","You start the game with one trained beast that the GM agrees to. Additionally, you can tame and train wild animals. Approach a wild animal in a way that it won't immediately attack you. You know what irritates them.
With such a companion, you can give several types of commands like: ""attack,"" ""heel,"" ""quiet,"" ""down,"" etc."
wolf_s_fang_long_description,"Walcząc wręcz potrafisz gryźć i drapać jak zwierzę. Jeżeli nie używasz broni i pancerza, zadajesz o poziom wyższe obrażenia wyrzucając na kostce 1, 2 Lub 3.","In close combat, you can bite and scratch like an animal. If you don't use weapons or armor, you deal one level higher damage by rolling a 1, 2, or 3 on the dice."
keen_senses_long_description,"Można nauczyć się odczytywać ślady i wyszukiwać ukryte tropy. Ale nic nie zastąpi doskonałego wzroku, czułego słuchu, czy węchu. Może dlatego jesteś taki dobry, że zawsze zwiększasz swoją Percepcję o 3 podczas wszystkich testów Wypatrywania i Nasłuchiwania na otwartym terenie?","You can learn to read tracks and search for hidden clues. But nothing can replace a keen sense of sight, hearing, or smell. Perhaps that's why you're so good; you always increase your Perception by 3 during all tests for Tracking and Listening in an open area."
recognizing_creatures_long_description,"Wiesz, że to, co szarżuje na samochód, to piaskowy diabeł, i wiesz, że należy spieprzać. Potrafisz rozróżniać niedźwiedzie i rozpoznasz też niedźwiedzia mutanta. Problem polega na tym, by dostrzec to, gdy będą wystarczająco daleko. W innym wypadku twoja wiedza nie przyda się nikomu. Masz bonus do wszelkich testów Łowiectwa i Tropienia podczas identyfikacji wszelakiego cholerstwa pałętającego się po okolicy. Powiedzmy, zawsze masz jeden automatyczny sukces, dobra? MG może zdradzić ci niektóre Współczynniki Zwierzęcia.","You know that whatever is charging at the car is a sand devil, and you know it's time to run. You can differentiate between regular bears and mutant bears, but the problem is spotting them when they are far enough away. Otherwise, your knowledge won't help anyone. You have a bonus to all Hunting and Tracking tests when identifying various critters wandering around the area. Let's say you always have one automatic success, okay? The GM may reveal some of the Creature's Characteristics."
door_to_door_long_description,"Potrafisz używać swojej maszyny jak broni i z tej właśnie okazji w czasie walki na autostradzie, podczas wszystkich manewrów samochodem masz +2 do Zręczności.","You can use your vehicle as a weapon, and during combat on the highway, you have a +2 bonus to Dexterity for all driving maneuvers."
car_cover_long_description,"Wiraż, odskok, uderzenie w zderzak, zjazd na pobocze, przyspieszenie... To dla ciebie normalny styl jazdy. Potrafisz wykorzystać swój samochód jako osłonę przed wrogimi atakami. Nie otrzymujesz kary do prowadzenia samochodu za to, że kryjesz się i pochylasz, uzyskując 60% osłony. Wszyscy pasażerowie w prowadzonym przez ciebie aucie otrzymują dodatkowo +20% Osłony.","Curve, swerve, bump into the bumper, veer off onto the shoulder, accelerate... This is your normal driving style. You can use your car as cover against enemy attacks. You don't receive a penalty for driving while taking cover, gaining a 60% cover bonus. All passengers in your driven vehicle receive an additional +20% Cover."
us_and_them_long_description,"Może nie poczujesz się zbyt pewnie w Vegas, ale jeśli w okolicy pojawi się facet z dzidą, inni zobaczą po prostu frajera z dzidą. Ty będziesz wiedział, że to człowiek Jastrzębi. On będzie wiedział kim jesteś ty. Wiesz sporo o klanach i potrafisz dogadać się z ludźmi pustyni. Masz jeden automatyczny sukces we wszystkich testach Charakteru dotyczących czerwonoskórych i ludzi pustyni.","You may not feel very comfortable in Vegas, but if a guy with a spear shows up in the area, others will just see a guy with a spear. You will know that he's a Hawk Man. He will know who you are. You know a lot about clans and can get along with desert people. You have one automatic success in all Charisma tests related to redskins and desert people."
this_is_my_home_long_description,"Przypomnij sobie tego twardziela, który przez tydzień trząsł całym Whitehorn. Kiedy w końcu przyszli po niego, zdychał samotnie jak pies. Ty zawsze masz gdzie wrócić. Masz kogo poprosić o radę i o pomoc. Jesteś członkiem grupy. Otrzymujesz 150 gambli na wykupienie czerwonoskórych Znajomych.","Remember that tough guy who shook the entire Whitehorn for a week. When they finally came for him, he was dying alone like a dog. You always have a place to return to. You have someone to ask for advice and help. You are a member of a group. You receive 150 chips to hire Native American Contacts."
